[2025-04-05 14:58:01] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.xroxy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.xroxy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
