[2025-05-11 01:41:00] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:00] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.xroxy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.xroxy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.xroxy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.xroxy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.xroxy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: chaturbate.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: chaturbate.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: chaturbate.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
